Time sync: 962 ms
--------------------------------------------------
P: seq 20920, size 1179, send_delta 4, trans_delta 3, recv_delta 7
P: seq 20921, size 1179, send_delta 5, trans_delta 3, recv_delta 8
P: seq 20922, size 1030, send_delta 5, trans_delta 3, recv_delta 8
P: seq 20923, size 1030, send_delta 5, trans_delta 3, recv_delta 8
P: seq 20924, size 1030, send_delta 5, trans_delta 3, recv_delta 8
RTP TS: 406524121, Frame Size: 23666, Encode 4, Net 9, Wait 13, Decode 5 E2E 31 
P: seq 20925, size 811, send_delta 0, trans_delta 1, recv_delta 1
P: seq 20926, size 811, send_delta 1, trans_delta 1, recv_delta 2
P: seq 20927, size 795, send_delta 1, trans_delta 1, recv_delta 2
P: seq 20928, size 795, send_delta 1, trans_delta 1, recv_delta 2
P: seq 20929, size 1156, send_delta 1, trans_delta 1, recv_delta 2
P: seq 20930, size 1157, send_delta 1, trans_delta 2, recv_delta 3
P: seq 20931, size 1085, send_delta 2, trans_delta 1, recv_delta 3
P: seq 20932, size 1086, send_delta 2, trans_delta 1, recv_delta 3
P: seq 20933, size 1086, send_delta 2, trans_delta 2, recv_delta 4
P: seq 20934, size 1086, send_delta 2, trans_delta 2, recv_delta 4
P: seq 20935, size 1025, send_delta 2, trans_delta 2, recv_delta 4
P: seq 20936, size 1025, send_delta 3, trans_delta 2, recv_delta 5
P: seq 20937, size 1026, send_delta 4, trans_delta 1, recv_delta 5
P: seq 20938, size 1026, send_delta 4, trans_delta 1, recv_delta 5
P: seq 20939, size 1023, send_delta 4, trans_delta 2, recv_delta 6
P: seq 20940, size 1023, send_delta 4, trans_delta 2, recv_delta 6
P: seq 20941, size 1023, send_delta 4, trans_delta 2, recv_delta 6
P: seq 20942, size 1024, send_delta 4, trans_delta 3, recv_delta 7
P: seq 20943, size 946, send_delta 5, trans_delta 2, recv_delta 7
P: seq 20944, size 946, send_delta 5, trans_delta 3, recv_delta 8
P: seq 20945, size 946, send_delta 5, trans_delta 3, recv_delta 8
P: seq 20946, size 947, send_delta 5, trans_delta 3, recv_delta 8
P: seq 20947, size 811, send_delta 5, trans_delta 4, recv_delta 9
